state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Unemployment_Rate
AL,2014,707,12402,30,601,0,497,2254,427,1675,57,172,848,0,0,0,3390,699,0,156,31,147,0,61,147,3940,329,0,13,275,249,69,6.733333333
AL,2015,4346,64046,115,3317,0,2416,8836,10289,7769,284,1290,4555,0,0,0,17457,1984,7,789,309,992,11,389,1210,19954,2106,0,148,1629,1510,520,6.125
AL,2016,4887,73292,115,3302,0,2346,8660,10813,7621,206,1438,3934,0,0,0,15578,2628,13,957,358,1060,1,407,1347,19419,2164,0,67,1696,1780,741,5.533363678
AL,2017,4804,80304,132,3468,0,2305,8065,11985,6933,190,1277,3471,0,0,0,15572,2216,8,1069,345,885,103,375,1221,18170,2690,0,57,1531,2104,630,4.508333333
AL,2018,4649,84007,131,3183,0,2184,7878,12027,6475,181,1154,3140,0,0,0,15965,1754,13,1134,321,597,101,393,1210,17302,2592,0,60,1430,2264,660,3.941666667
AL,2019,4500,88575,106,2691,0,2140,7073,10279,6134,170,1055,2881,0,0,0,15226,1775,5,1045,388,526,106,372,1053,17488,2324,0,33,1378,1478,563,3.183333333
AL,2020,1759,29717,39,1001,0,685,3043,4059,2576,32,346,861,0,0,0,4937,710,2,350,180,156,50,99,321,6984,934,0,9,492,569,216,6.425
AL,2021,1593,39461,42,978,0,2257,2220,10656,0,15,279,655,13,7,0,4261,4861,0,441,164,174,51,113,287,5652,1012,0,2,984,1671,73,3.366666667
AL,2022,2877,60792,78,1456,0,2477,6296,17132,0,33,498,1210,9,9,0,8269,6227,0,601,266,307,47,219,428,9683,1467,0,0,1480,1917,88,2.575
AK,2014,1270,10634,141,290,5,748,2414,1197,128,62,80,190,0,0,0,2883,1251,5,211,19,188,36,89,210,3200,25,17,0,743,223,257,6.753846154
AK,2015,1734,13025,67,485,5,795,3163,1212,80,72,39,230,0,0,0,2540,1100,1,361,47,181,8,118,294,4350,52,0,3,898,303,240,6.31183432
AK,2016,1845,11340,51,538,12,738,3063,1006,112,81,96,236,0,0,0,2401,775,5,505,41,195,13,130,282,4300,82,0,4,1024,311,281,4.063632226
AK,2017,1913,10737,22,623,0,757,3102,1004,43,77,113,219,0,0,0,2356,653,2,694,46,159,5,126,289,4478,105,0,2,1004,369,256,6.513679493
AK,2018,2132,11072,43,602,5,843,3148,1046,47,54,154,201,0,0,0,2392,592,4,726,38,174,2,149,367,4943,120,0,17,1103,387,263,6.077975346
AK,2019,2188,11465,52,641,0,878,3196,1098,33,46,88,132,0,0,0,2107,340,4,514,48,190,6,135,321,5202,92,0,38,1211,295,246,5.629075027
AK,2020,2132,9909,43,476,0,663,3061,817,19,35,55,200,0,0,0,1577,277,1,344,33,101,1,165,288,4654,66,2,44,1083,333,245,8.102236541
AK,2021,739,4521,14,177,0,480,1746,508,0,3,11,31,0,1,0,426,131,3,127,16,36,0,88,35,2147,11,0,8,379,146,50,6.561710503
AK,2022,1893,6666,42,428,1,525,3227,831,4,30,44,104,0,0,0,1063,134,1,323,55,125,9,129,197,3850,70,0,4,988,292,205,4.220131577
AZ,2014,6973,76924,208,3948,1470,15103,27590,30237,0,156,1157,2096,6,0,0,36742,14514,18,1603,181,2533,892,303,1610,26017,1189,0,303,10916,2395,1638,6.838461538
AZ,2015,8187,81052,208,3913,1334,18961,27617,29602,14105,190,1012,1940,15,0,0,35808,12577,21,1681,208,3625,659,316,1716,26721,1212,185,377,10467,2854,1529,6.133727811
AZ,2016,9402,77897,201,4131,1131,17145,24555,31404,15464,365,1160,2084,9,0,0,33994,10269,42,1674,253,3239,388,361,1893,27540,1388,137,365,10742,3054,1472,5.579472007
AZ,2017,10887,86713,237,4331,1213,17165,25738,37108,17582,457,1235,2188,14,0,181,30746,9855,22,1799,283,3588,308,356,2175,28797,1461,150,618,11125,3286,1417,5.017951052
AZ,2018,10439,84794,430,4050,681,17136,21313,35024,13396,854,1191,2227,7,250,0,27406,8172,35,1806,297,3158,350,378,1991,28642,1209,57,607,10952,3333,1524,4.824457773
AZ,2019,10169,76093,197,4087,583,15719,20510,32516,11961,507,927,2213,1,0,1,27430,6771,41,1811,345,2799,316,342,2045,28062,1067,35,457,10805,3339,1475,4.809573675
AZ,2020,10057,53583,257,3680,566,13431,16546,23738,5695,348,628,1491,9,5,78,22117,4583,44,1836,384,2601,386,346,1908,25022,1043,105,844,9462,3771,1175,7.608428744
AZ,2021,3409,30433,109,1245,248,9374,14016,10003,0,55,202,643,0,1,0,8257,2345,26,759,111,441,64,141,399,12643,328,0,130,3678,1044,197,5.269879134
AZ,2022,8222,55414,181,2731,229,11465,17443,21037,34,421,436,1449,0,29,0,17172,3146,57,1378,343,756,618,295,1444,23105,1065,0,1877,6888,3474,731,3.936144549
AR,2014,3142,55260,50,2204,204,2509,7034,11320,5985,44,751,1287,8,0,0,13028,1937,8,420,88,278,222,249,594,10785,1163,0,543,1286,915,125,5.953846154
AR,2015,3732,59878,74,2039,313,2391,7126,12842,7091,55,709,1179,1,0,0,14084,1977,7,380,138,228,217,279,595,11437,1279,0,741,1390,887,138,5.027218935
AR,2016,3929,62285,47,2236,365,2640,6807,15893,6893,64,855,1133,8,0,0,11715,1836,10,509,142,364,282,298,573,12248,1439,0,893,1518,1064,124,3.187983614
AR,2017,3839,55481,41,2123,312,2538,6087,17788,6308,52,844,898,15,0,0,9854,1490,14,608,140,308,170,286,555,11675,1780,0,322,1556,1115,65,3.766433248
AR,2018,4241,59744,69,2014,308,2476,6370,19309,6327,47,891,951,7,0,1,11471,1390,11,648,147,475,134,274,540,12573,1871,0,363,1660,1188,101,3.666648711
AR,2019,4424,57016,67,1989,296,2728,6541,19094,5782,50,875,921,24,0,0,11511,1358,8,625,165,434,81,307,511,12747,1868,0,336,1919,1132,83,3.505126824
AR,2020,4804,41586,67,1761,213,2111,5273,15993,2959,29,633,661,9,0,0,9039,1001,17,580,198,329,17,292,447,11674,1781,0,313,1619,1081,89,5.992702063
AR,2021,4903,47474,70,1687,171,2341,5263,16543,0,26,503,512,9,1,0,7009,1062,9,668,190,330,54,288,348,11736,1678,0,215,1704,1158,105,4.222515543
AR,2022,4606,44272,64,1667,118,2505,5967,14637,0,15,537,508,5,0,0,8010,978,16,606,193,244,26,291,339,11479,1694,0,207,1478,1019,106,3.370962734
CA,2014,87468,299517,1055,48551,3236,6330,155512,229348,90061,1049,5226,6581,285,0,0,71492,15835,239,13773,1427,316,9156,2446,14801,78246,17405,0,8115,17200,24515,9743,7.630769231
CA,2015,88150,301333,1189,44292,1919,4711,141934,207457,78885,979,4874,6559,256,0,0,65158,12335,264,17449,1439,244,8138,2478,15905,81870,16369,8,7509,17205,26157,9436,6.333136095
CA,2016,87210,286762,1315,40957,1454,3940,130509,219782,70213,963,5042,6355,266,0,0,54836,8926,224,18621,1441,245,7607,2568,15895,81092,16532,0,6599,17267,27777,9247,4.930632681
CA,2017,88485,291206,1575,38241,999,3570,123607,213335,63751,997,4458,6946,287,0,0,47129,7208,267,19571,1502,232,7069,2567,17001,80805,17441,0,6896,16982,28682,9329,4.890728616
CA,2018,89911,295117,1535,35310,658,3477,127562,219899,58716,925,4132,6133,403,0,0,42643,5987,243,18057,1416,269,6422,2549,16715,82173,16283,1,7294,16694,28406,8936,4.306979124
CA,2019,87232,279290,1602,34197,713,3520,124532,220270,55648,995,3853,6921,570,0,0,41094,5421,284,15326,1352,299,5862,2238,16113,81234,15433,0,4810,17133,28095,8958,4.115921471
CA,2020,83718,198457,2063,26367,395,2676,96322,187176,36107,684,2767,5075,676,0,0,28462,2765,261,16469,1597,312,4456,2073,13703,69451,14709,0,3315,17648,28520,7322,9.731993959
CA,2021,7576,64920,262,2058,53,11321,20849,20704,0,84,473,1649,71,13,1,5099,432,2,1904,167,79,383,255,1680,12945,2604,0,478,2715,5020,277,7.510153381
CA,2022,70290,199860,2234,18786,190,25481,98084,119840,14687,738,2293,6161,361,27,8,30420,2360,175,13489,1439,260,4141,1951,12973,74434,16428,0,2454,18291,31558,5316,4.439242568
CO,2014,4431,104749,226,2697,1607,9881,28098,13359,272,92,590,1956,13,0,0,27990,12679,8,1576,131,3271,349,466,931,16978,320,0,561,5335,2173,525,5.069230769
CO,2015,4825,100636,186,2458,1334,9134,26623,14673,649,105,594,2200,1,0,0,27096,11661,3,2176,106,3348,642,479,1007,18042,434,0,325,5464,2270,497,3.843786982
CO,2016,5383,107952,244,2675,1266,8124,24863,15597,812,109,740,2612,4,0,0,25876,9851,5,2705,156,3272,515,456,986,18125,541,1,482,5661,2434,463,4.550568958
CO,2017,6127,114220,287,2431,1141,7919,25030,16860,485,127,757,2608,19,2,2,22459,9118,15,2848,188,3517,528,458,1201,17864,528,7,605,5740,2387,472,2.652921816
CO,2018,6651,101588,233,2476,855,7824,22782,18183,370,121,776,2785,7,4,0,22013,7947,8,2746,216,2840,427,594,1259,18272,612,1,545,5507,2501,561,3.019455524
CO,2019,6789,92836,223,2688,538,6620,21262,17189,378,79,813,3036,13,1,0,22105,6485,27,3192,181,2385,372,582,1240,18340,647,0,471,5684,2558,504,2.693804271
CO,2020,7294,61262,315,2901,334,4926,16588,10640,203,72,545,2087,0,5,0,16516,4073,26,3631,267,2162,131,489,1260,17033,765,0,397,5817,2488,362,6.453369559
CO,2021,6697,63023,307,2498,161,4419,17294,10326,0,73,378,1669,2,4,0,12875,3033,24,4102,233,2227,210,459,1186,16306,984,0,89,5627,2550,391,5.534874581
CO,2022,7125,69339,311,2524,122,4291,16155,10946,0,75,377,1415,0,11,0,12596,2194,32,4006,277,2272,147,415,1062,16681,1122,0,167,5270,2280,403,3.210374968
CT,2014,2575,29729,284,2407,7,12150,8940,9774,2,165,686,977,14,0,0,13910,368,12,581,94,1403,351,243,1169,18729,286,0,26,2049,1136,392,6.676923077
CT,2015,2149,27753,78,1953,1,11259,8729,8758,9,163,619,857,12,0,0,12645,238,12,628,93,1385,264,201,1121,17287,238,0,31,1864,1060,419,5.698224852
CT,2016,2472,27077,98,1968,4,11701,8688,9276,8,167,565,930,19,0,0,12262,231,14,872,66,1485,215,229,1031,18429,373,0,36,2091,1210,357,6.290714611
CT,2017,2497,28502,75,1964,3,10715,8350,9065,5,140,622,915,7,5,1,11070,159,14,917,83,1526,182,192,1062,18760,697,0,24,2207,1262,354,4.456202514
CT,2018,2270,30209,76,1620,1,10808,7681,8211,13,140,561,933,10,1,0,9979,98,9,793,72,1474,186,208,896,17932,694,0,41,1693,1128,369,3.927400193
CT,2019,1970,29644,63,1389,9,10612,7613,7103,11,123,433,831,12,1,0,9666,86,7,615,79,1513,118,202,763,16278,345,0,44,1703,1077,316,3.632876938
CT,2020,1766,17972,68,1152,1,8848,5180,4344,0,77,296,567,7,1,0,6951,60,19,663,105,1714,44,191,605,15063,332,0,43,1543,1039,293,7.633298226
CT,2021,1636,21379,49,999,1,8682,6205,3495,0,66,214,449,10,3,0,5686,81,14,691,108,2155,32,132,523,15111,245,0,154,1622,1205,271,6.394869094
CT,2022,1581,24111,71,912,4,8901,6263,3076,0,67,226,438,17,0,0,6380,31,18,701,77,1759,32,171,576,15072,237,0,13,1556,1476,295,4.330374546
DE,2014,1492,5317,32,1046,65,1653,333,6180,480,204,272,1901,6,0,0,6814,1326,0,127,19,195,64,79,544,6856,445,0,491,773,397,138,5.646153846
DE,2015,1615,5102,32,1006,64,1237,386,5753,368,216,315,1714,0,0,0,6222,898,0,110,53,198,100,76,505,6779,397,0,422,868,335,120,4.85739645
DE,2016,1614,5588,26,1063,47,1318,355,4289,348,198,291,1797,1,0,0,5984,890,1,122,33,195,89,58,529,6643,471,0,333,890,390,130,4.969094219
DE,2017,1377,5733,32,917,32,1263,339,4015,365,216,266,1791,20,1,0,4957,601,1,131,42,163,81,75,460,6164,399,0,224,749,339,103,4.473120689
DE,2018,1465,5318,24,681,31,1201,428,3703,345,160,197,1341,9,0,0,4480,703,0,113,29,184,124,73,391,6099,320,0,165,756,321,107,3.76716313
DE,2019,1418,6198,25,777,37,1149,453,3817,359,162,232,1315,20,1,0,4443,540,2,194,11,157,83,72,402,6396,372,0,229,851,324,95,3.605166395
DE,2020,1402,5485,20,643,24,785,294,3335,238,103,121,822,9,0,0,3303,198,3,161,16,148,31,73,317,5382,346,0,142,853,340,97,7.208089723
DE,2021,1400,6093,23,474,4,949,324,3565,0,78,105,967,4,0,0,2840,351,7,195,36,165,10,76,280,5504,358,0,105,878,424,105,5.631391517
DE,2022,1399,5890,18,503,13,782,309,3636,0,70,128,1038,17,0,0,2864,420,16,211,36,136,13,72,255,5457,375,0,76,811,451,83,4.579337809
FL,2017,27323,302557,241,16466,5,33,32683,284,37,1054,2026,11593,71,0,0,65921,11739,86,8285,634,4,2468,1871,6387,78747,1829,0,0,6333,6301,2999,6.114670355
FL,2018,611,8231,9,321,1,17,1634,72,15,18,65,491,0,0,0,2193,768,4,211,13,1,43,47,145,3894,90,0,0,214,121,59,5.716513104
FL,2019,25302,290411,252,13560,0,43,33872,181,32,1047,1808,11226,107,0,0,64087,10774,121,7776,787,10,2049,1765,6006,80785,1512,0,0,5956,6551,3209,5.493577931
FL,2020,26155,199194,258,12585,0,17,29245,62,15,653,1217,8248,109,0,0,46870,5994,142,7197,848,3,940,1822,5488,75745,1320,0,0,5845,7548,2929,7.699505995
FL,2021,2538,37982,34,538,32,785,4938,6584,0,152,163,851,9,2,2,4998,385,9,529,64,375,157,124,356,11934,73,0,817,1077,1425,96,6.899962
FL,2022,3312,52666,40,806,54,796,6151,7539,0,235,234,1177,6,4,0,7672,1052,10,558,78,512,265,181,523,15197,182,0,1060,1454,1885,109,4.792304769
GA,2014,8909,103273,244,7435,647,22489,25925,46705,2337,437,3783,5862,251,0,0,43351,7155,29,1734,457,4197,732,356,2798,32838,3327,252,1394,4260,3893,3473,6.476923077
GA,2015,9246,95843,177,6145,536,19032,23925,45183,2019,418,3349,5336,217,0,0,38080,5431,20,1617,463,3670,672,319,2537,29841,3207,24,1843,3970,3616,3533,5.598224852
GA,2016,9897,85549,189,5559,409,17325,22507,46962,1957,284,2923,3973,94,0,0,32770,4606,32,1639,477,3468,619,324,2423,27285,3426,31,1744,4259,3822,3136,2.937050523
GA,2017,10082,85808,188,5033,396,16731,20914,48883,1628,338,2793,3710,120,0,0,31165,3894,32,1782,467,3336,497,343,2079,26158,3682,21,1347,4239,4110,2879,4.351468786
GA,2018,9032,90224,156,3965,238,12652,28446,51956,1607,217,2229,3200,173,0,0,27557,2013,20,1404,399,4244,416,278,1442,23827,3061,24,646,3942,3705,2244,3.703959137
GA,2019,7109,72492,135,2743,297,9651,16706,34710,1525,121,1749,2325,76,7,0,20297,1388,15,1022,277,2942,347,232,1136,18687,2134,12,814,3292,2640,1488,3.284919934
GA,2020,5966,40969,120,1689,124,6322,15497,20370,728,27,808,1870,21,37,1,11667,1015,10,923,295,869,158,350,718,14990,1593,0,923,3168,1679,432,7.798839995
GA,2021,7810,51548,138,1923,136,7713,19978,29399,9,63,956,3280,8,20,2,13330,1591,31,1455,459,1187,198,410,900,19783,1881,0,1261,3959,3151,613,4.899910769
GA,2022,8446,60363,179,1885,207,8308,19316,28274,13,56,1117,4437,12,32,8,14604,1649,24,1309,469,1146,216,416,991,21206,2043,0,1224,3664,3074,629,3.05383929
HI,2014,618,14624,9,468,169,593,3599,2146,0,11,65,140,57,0,0,2616,356,8,410,16,14,106,83,188,2452,61,0,1,343,230,123,7.176923077
HI,2015,928,21896,43,676,182,1143,6524,2953,0,49,137,320,43,0,0,4253,721,6,684,36,26,154,157,412,4979,139,0,0,628,273,253,6.159763314
HI,2016,858,19671,36,636,172,1074,5929,2574,4,32,140,265,76,0,0,3365,575,6,389,35,17,159,154,294,4621,130,7,3,570,297,218,3.693536641
HI,2017,810,14958,23,436,218,905,5965,2733,0,14,81,150,156,2,0,2878,464,0,423,40,13,120,117,273,3845,414,0,0,387,249,159,4.816921676
HI,2018,705,16596,35,444,143,934,5460,3051,0,15,96,247,150,0,0,2830,1757,1,415,30,29,125,130,256,3845,460,0,75,283,304,188,4.062840129
HI,2019,731,18630,42,437,216,1263,5106,2995,0,5,110,270,101,3,0,2934,2224,6,404,45,15,119,145,260,3964,456,0,279,334,298,184,3.612526164
HI,2020,797,30857,50,468,124,1208,3481,2539,0,7,67,203,53,2,0,1999,2754,3,363,78,20,65,129,242,3671,503,0,545,268,429,128,6.262502013
HI,2021,707,19229,39,276,73,862,3169,1850,0,8,72,191,43,0,0,1304,1391,2,191,34,11,31,90,184,4193,547,0,343,149,133,107,4.097115539
HI,2022,630,14234,44,241,61,878,2995,1350,0,7,70,210,45,5,2,1643,884,4,190,36,18,2,71,244,4306,468,0,210,113,141,125,3.115162734
ID,2014,1178,22972,63,1012,279,1671,7450,7272,377,64,129,381,0,0,0,5468,2498,2,213,16,930,21,109,92,5067,233,0,21,1054,355,248,4.261538462
ID,2015,1388,22994,68,1019,205,1760,7503,8353,744,49,122,372,0,0,0,5452,2239,6,225,19,1106,19,125,112,5193,310,14,16,1043,368,245,3.481656805
ID,2016,1320,21734,48,923,81,1648,7237,9344,346,50,134,328,0,0,0,4703,1516,1,224,26,877,20,130,89,4950,274,5,10,891,367,234,5.899271734
ID,2017,1445,23832,54,956,143,1856,7483,10828,620,48,150,324,0,0,0,4581,1207,5,245,19,762,17,157,72,5105,227,7,15,895,337,217,2.272080809
ID,2018,1480,24897,61,868,114,1532,8017,11841,492,44,140,368,1,0,0,4251,1125,2,206,21,773,12,197,96,5144,230,3,13,878,330,268,2.39785237
ID,2019,1579,22041,46,772,132,1485,7908,11189,650,41,107,352,0,0,0,3817,1286,2,195,19,625,12,208,84,4404,180,9,11,798,315,298,2.507527105
ID,2020,1602,17222,51,687,115,1527,7054,9895,426,38,64,430,0,0,0,2859,1030,8,172,24,603,11,158,68,3654,207,18,27,789,304,242,11.13904055
ID,2021,1565,18938,36,643,144,1509,7457,10808,0,35,80,401,0,0,0,2252,1041,5,191,31,525,15,146,67,3749,181,0,5,797,354,218,6.410695427
ID,2022,1647,19381,50,687,121,1519,7594,10363,0,27,70,405,0,0,0,2452,1066,2,157,25,497,11,151,74,3728,188,0,4,772,426,200,3.700822725
IL,2014,1908,18653,74,1673,96,9636,3641,541,0,0,214,267,1356,0,0,10656,462,7,2545,330,309,924,348,2058,16503,74,0,47,2885,3337,534,4.507692308
IL,2015,1803,15587,65,1318,129,6753,3651,405,0,0,173,225,914,0,0,8831,292,9,2986,272,278,304,280,1729,14953,75,0,14,2332,3487,414,3.915976331
IL,2016,1826,11098,67,987,79,3744,2921,369,0,0,127,182,456,0,0,8041,166,9,3505,287,252,184,276,1629,13329,88,0,4,2065,3232,302,4.405871643
IL,2017,1804,11818,58,876,51,2976,2338,342,0,1,106,227,457,0,1,7581,131,9,3113,278,265,141,261,1459,12998,63,0,18,2068,4289,236,3.253348972
IL,2018,2269,14037,63,1008,50,3980,2815,467,0,0,124,247,706,0,0,9497,183,15,4267,416,350,115,438,2415,16678,86,0,29,2684,6795,349,2.904103767
IL,2019,370,3019,16,74,24,639,392,536,0,0,16,33,0,0,0,453,73,2,12,17,211,63,19,72,1490,90,0,21,312,136,10,2.877238751
IL,2020,359,2298,18,67,24,480,348,419,0,0,6,39,0,0,0,533,41,1,19,16,140,1,18,58,1185,59,0,3,383,182,15,5.31363375
IL,2021,2822,24392,82,1033,160,2594,11312,9599,0,39,163,1277,0,0,0,5907,1308,18,354,149,271,72,111,487,15478,218,0,1,2870,2796,55,3.639510288
IL,2022,4584,38948,100,1600,224,3768,14339,12522,0,80,272,1931,3,0,1,9686,1616,23,739,282,450,83,181,881,25587,313,0,4,4125,4408,117,2.749193099
IN,2014,6289,49646,106,2706,390,4162,56467,47694,16105,131,946,1453,17,0,0,20708,6491,13,1343,203,1397,508,184,1236,13910,720,201,236,1490,1695,914,7.276923077
IN,2015,6250,58514,98,2467,351,4009,16083,18329,4841,145,950,1733,16,0,0,19162,5905,13,1482,214,1413,438,202,1269,13599,583,143,170,1454,2181,991,6.090532544
IN,2016,6070,56019,118,2427,254,3931,15862,20431,4588,211,1409,1836,21,0,0,17590,4685,14,1743,171,1217,321,202,1377,13414,576,20,83,1539,2496,889,3.587255348
IN,2017,6975,55417,94,2335,218,3774,15162,29394,4013,299,1275,2011,14,0,0,15310,4180,15,1784,194,1205,303,234,1444,12320,391,34,349,1288,2426,733,5.023020903
IN,2018,6744,49934,83,2024,168,3830,14089,30052,4073,223,1062,1829,8,1,4,13381,3378,13,1675,205,1279,215,238,1253,12618,430,43,45,1286,2400,712,4.447924685
IN,2019,5372,47267,101,1701,102,3585,13544,24864,3528,137,875,1839,48,3,132,11688,3000,16,1324,123,844,98,193,908,11950,463,12,40,960,2559,533,4.003686514
IN,2020,4806,37145,82,1524,77,2890,12975,18681,1298,111,644,1020,4,2,4,8946,1314,31,1133,174,500,39,206,827,11673,563,5,158,706,2880,430,8.923360501
IN,2021,4067,39462,70,1186,102,2606,13380,19905,0,89,246,842,3,0,1,7706,1469,36,1136,156,389,84,189,671,13485,617,0,4,630,3474,351,6.309489269
IN,2022,3920,41442,67,1232,101,2414,12980,18025,0,175,277,914,5,2,0,7976,1932,33,1106,142,385,50,185,702,14236,575,0,0,516,2747,349,4.677653021
IA,2014,3676,28313,112,1549,384,5645,11371,9101,11573,74,523,774,5,0,0,13046,4777,10,400,29,1271,68,162,363,8719,215,0,16,2324,762,203,5.992307692
IA,2015,4442,29611,127,1813,369,4755,10598,9080,8481,84,597,768,7,0,0,12986,4061,3,516,48,1050,120,159,394,7789,203,0,6,2162,783,198,4.876331361
IA,2016,4432,30255,91,1664,404,4211,10335,9754,7129,83,611,773,6,0,0,11288,4139,5,549,58,1287,104,161,403,8020,189,0,10,2363,863,196,4.029221666
IA,2017,4437,34610,106,1743,269,3898,11221,10467,6285,79,749,817,7,0,0,10815,4036,7,643,59,1126,46,243,365,7893,231,0,17,2179,963,119,3.561990126
IA,2018,3796,33417,82,1195,188,3562,10198,8853,5194,56,474,658,9,0,0,8663,3082,3,592,35,1081,31,218,230,6702,232,0,8,1825,790,107,3.44323001
IA,2019,4617,35143,98,1562,142,3503,10985,9855,5004,56,572,702,6,0,0,9931,2754,3,660,49,974,33,231,311,8280,274,0,8,2198,847,122,3.303325385
IA,2020,4789,28993,110,1491,92,2001,9749,8430,2540,44,407,480,3,0,0,7080,2148,2,673,55,1007,11,274,288,7460,294,0,6,2178,937,95,7.03102503
IA,2021,4622,24171,92,1081,9,693,9209,8627,0,62,289,787,7,1,0,5912,1559,7,847,42,530,24,278,223,8811,295,0,6,2035,760,97,4.133155772
IA,2022,3783,23343,91,943,14,722,8533,8533,0,106,284,794,9,11,0,6034,1523,7,699,26,447,24,266,244,8105,340,0,5,1835,723,84,3.079473521
KS,2014,1693,27251,64,875,0,2305,9239,8113,307,162,289,716,0,0,0,5339,4229,3,429,38,216,105,156,218,9750,399,0,0,1937,471,205,4.246153846
KS,2015,1694,23880,56,771,0,2062,8035,8482,219,167,233,665,0,0,0,5355,3442,3,374,58,291,72,145,227,9216,396,1,0,1766,453,185,3.734319527
KS,2016,1751,21330,60,672,0,1786,6728,8833,159,150,235,546,0,0,0,4574,2916,1,403,56,219,56,137,227,8981,634,0,0,1704,575,169,5.056258534
KS,2017,1913,25145,51,635,0,1815,6554,10624,161,111,270,624,0,0,0,4041,2653,0,445,63,269,119,130,214,8986,702,0,0,1778,769,171,3.099019642
KS,2018,450,24077,19,161,0,1599,6455,2680,139,33,88,356,0,0,0,970,2406,4,100,12,214,3,56,36,1827,185,0,0,392,139,58,2.615309203
KS,2019,2257,23600,63,534,0,1750,7285,10511,131,56,212,456,1,0,0,3817,2331,2,348,55,267,93,137,219,8804,592,0,0,1922,845,157,2.662716093
KS,2020,2480,19562,65,587,0,1673,7498,10526,101,39,205,446,1,0,0,4580,1952,1,434,92,259,40,136,264,9639,722,1,0,2268,1022,142,5.004824315
KS,2021,3049,23030,75,712,0,1686,8259,11960,0,35,170,336,1,0,0,4237,1803,6,498,104,242,87,170,251,10372,695,0,0,2449,899,153,3.908063409
KS,2022,2800,22421,84,573,0,1704,7667,10750,0,61,143,338,0,0,0,4492,1627,7,377,86,247,94,165,247,9573,562,0,0,2284,815,170,2.831389493
KY,2014,2153,66795,147,3570,0,4551,20009,21676,15715,507,1053,1174,9,0,0,18913,234,17,645,161,4786,226,264,1280,11434,1948,0,179,1113,1018,412,4.538461538
KY,2015,1983,90193,78,3261,1,4529,18145,22494,15411,487,1025,1153,17,0,0,17127,130,18,694,168,4467,275,268,1148,11642,2164,0,145,1078,888,414,4.179881657
KY,2016,1969,106377,53,3052,3,4101,16916,23315,14276,457,1057,1056,9,0,0,14393,94,17,895,191,4560,252,260,1138,11788,2659,0,137,1148,906,321,6.083477469
KY,2017,2072,143065,77,3017,2,4646,17949,27482,16397,414,1146,1429,3,0,1,13441,103,15,951,199,6161,171,275,1017,12260,3023,0,74,1198,987,319,3.648401667
KY,2018,2137,150247,130,2966,1,4440,16486,28720,16002,433,1377,1747,13,2,0,13581,199,25,1050,184,5799,164,343,875,12583,3085,0,57,1257,1084,326,3.380646282
