state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Unemployment_Rate
KY,2019,2283,152537,170,2797,2,4357,16690,25769,15195,371,1110,1470,20,0,1,12593,150,19,1041,177,5793,101,326,796,12807,2943,0,52,1438,850,299,3.283126637
KY,2020,2502,88721,85,2647,0,4023,13745,20139,9240,289,647,1097,0,1,2,7954,46,28,948,180,4180,22,267,727,12536,2830,0,19,1384,616,222,5.652548203
KY,2021,2411,112285,67,2213,0,3450,12772,21587,0,187,527,1100,8,3,2,6738,29,37,825,228,4251,15,290,616,11472,2689,0,17,1334,720,244,3.488657554
KY,2022,1991,116917,84,1807,0,3179,10966,17631,0,221,431,792,0,1,0,6076,20,29,688,172,3710,10,303,489,10213,1995,0,10,1212,625,245,2.729896735
LA,2014,7212,50843,96,5152,240,8663,7424,23783,3813,127,725,1637,53,0,0,24699,2550,23,1069,294,1440,673,345,1263,21208,1732,112,205,2928,2395,762,6.507692308
LA,2015,8737,55063,117,5214,360,9299,8782,27599,3827,134,683,1389,58,0,0,28241,3464,33,1259,342,1509,618,470,1598,23385,2273,34,392,3425,3271,982,5.331360947
LA,2016,9364,59792,136,5788,308,10708,8046,30052,3756,175,802,1498,79,0,0,26460,3673,49,1444,359,1632,527,516,1708,24764,2398,142,313,3911,3963,1402,3.829039599
LA,2017,8851,58407,131,5959,301,9706,7070,31368,3334,140,799,1642,53,30,35,24916,3170,29,1781,439,1921,597,490,1619,23963,2826,17,261,3661,4096,1405,4.796635272
LA,2018,9159,57781,110,5894,260,8399,6763,34130,3102,140,777,1369,52,9,4,25290,2085,32,1703,402,1920,450,488,1612,23980,3147,13,277,3561,4180,1201,4.245895021
LA,2019,9753,56846,153,5493,246,8531,6841,33591,2641,132,730,1228,106,8,3,24192,2293,38,1616,417,2026,466,484,1383,22055,2777,774,369,3468,4340,1100,4.111222694
LA,2020,9267,39662,107,4443,230,6269,4105,24120,1152,91,482,945,52,4,8,18467,1214,37,1231,413,1222,280,396,1087,18106,2561,57,203,3364,3829,811,6.270094053
LA,2021,6900,17036,74,3156,124,4385,2796,19141,51,82,298,453,124,1,0,11462,772,33,1050,420,764,150,250,749,16339,2354,0,11,3339,2783,444,4.566930312
LA,2022,6809,16677,126,3290,51,3331,2852,19191,61,145,366,687,124,1,2,13763,930,16,1139,275,615,107,285,883,17173,2750,0,4,3184,3704,549,3.958994639
ME,2014,523,15550,42,910,22,1570,5532,5797,16,60,232,646,4,0,0,6128,3127,2,222,14,154,52,69,163,5228,150,0,0,1167,270,207,6.207692308
ME,2015,548,14812,29,854,15,1332,5777,5942,17,46,253,564,8,0,0,5374,2725,7,237,21,84,81,60,182,4938,110,2,4,1014,228,187,6.285207101
ME,2016,560,15019,78,684,9,1319,5844,5433,22,70,229,558,1,0,0,4713,2218,0,207,16,125,105,61,140,4739,94,7,0,1054,150,187,4.350068275
ME,2017,571,14230,60,608,17,1258,5836,3322,20,41,198,522,3,1,0,4685,2181,4,226,13,121,119,75,128,4893,93,8,0,1068,129,179,5.183344421
ME,2018,533,14471,45,562,10,1360,5816,3698,21,48,209,482,2,3,1,4623,2052,1,235,16,137,54,74,135,4894,116,5,1,1035,144,167,4.852564955
ME,2019,527,14473,46,507,3,1236,5454,3624,13,41,146,403,3,0,0,4281,1577,2,200,10,155,51,66,93,4812,99,2,2,981,138,175,4.634812689
ME,2020,519,12170,60,467,20,886,4108,3188,32,21,119,302,1,1,0,3385,916,3,267,13,88,37,67,110,4481,106,3,3,965,130,115,8.356524053
ME,2021,530,10319,59,354,11,823,4390,2842,0,15,71,232,1,0,0,3081,626,5,206,15,90,5,74,72,4345,102,0,1,962,128,78,5.812040312
ME,2022,476,11183,56,363,4,750,4473,2559,0,14,93,255,1,1,0,3936,627,8,220,19,116,26,51,88,4398,79,0,2,864,119,82,3.79323387
MD,2014,6754,75309,356,5880,152,7155,20483,43223,81,250,690,1279,265,0,0,24502,7048,14,1440,239,1941,1005,349,3575,24521,171,251,877,3160,3266,996,5.607692308
MD,2015,6441,66281,338,5348,136,5802,19933,31272,21,206,591,1049,172,0,0,21624,6611,19,1421,286,1922,708,436,3472,22340,110,199,63,2885,3299,829,4.477514793
MD,2016,6407,64104,358,5051,57,5267,19234,32961,17,148,624,1030,136,2,0,20728,5774,28,1669,314,2054,700,442,3512,22752,256,454,144,2958,3673,730,4.105234411
MD,2017,6481,62891,321,4895,87,4802,18727,33663,33,140,520,1113,123,18,2,17993,4206,15,1848,326,1881,731,385,3554,22006,171,135,146,2829,3492,674,3.394541508
MD,2018,6381,58201,311,3909,68,4867,18767,32944,58,114,462,928,76,12,3,15755,4445,15,2047,267,1883,837,484,3304,22116,343,262,207,2585,3744,703,3.191887808
MD,2019,6246,58871,227,3670,36,5111,19064,30817,44,120,398,860,58,10,2,16189,4226,25,1950,245,1857,675,524,3308,22760,283,49,228,2774,3833,741,2.960914447
MD,2020,5793,38587,200,2838,9,2952,13278,19400,19,86,218,542,10,10,1,9619,1766,20,1626,273,1333,143,467,2299,16791,347,2,122,2064,3698,496,4.950839573
MD,2021,3043,15276,39,913,2,950,9605,8888,0,57,79,226,0,6,0,2991,334,14,672,177,312,96,223,1041,4994,356,0,16,867,2238,153,4.642372275
MD,2022,5315,36136,74,1746,6,1514,9812,8796,1,98,90,394,0,3,0,6166,668,14,943,193,860,80,289,1816,10879,291,25,35,1463,3330,289,3.072490175
MA,2014,8864,36917,91,2948,0,6003,8836,11306,7217,148,553,1344,23,0,0,15113,3252,2,658,48,1199,678,286,1507,20819,1274,66,7,2900,1359,455,5.761538462
MA,2015,8638,36893,53,2407,0,4664,9571,10552,6366,133,525,1240,30,0,0,13144,2344,1,605,113,1196,564,290,1241,18883,1231,98,17,2603,1398,450,5.050887574
MA,2016,8318,37469,83,2186,0,4502,10210,10470,5713,136,488,1297,16,0,0,12322,2116,3,671,60,1336,553,308,1291,19642,1218,2,12,2775,1335,424,5.051524807
MA,2017,7845,39028,89,2238,2,4456,9430,9922,5387,128,469,1320,6,9,0,11051,1830,5,647,63,1438,530,350,1223,19678,1226,2,9,2640,1354,421,4.026928329
MA,2018,7413,37523,60,1925,0,4108,9340,8880,5366,113,449,1176,9,6,0,9569,1318,8,575,57,1202,395,372,1135,19288,984,0,3,2459,1322,430,3.832840641
MA,2019,7052,37969,67,1719,0,3880,10395,8588,4768,86,464,1077,18,4,3,8595,1250,8,550,52,1058,377,368,903,18366,913,1,53,2172,1326,423,3.425603126
MA,2020,6242,28988,86,1355,0,2238,7184,6355,1405,47,261,643,11,3,2,5088,607,9,513,58,1175,110,300,682,16140,864,1,12,2115,1296,310,6.278892548
MA,2021,6283,30186,77,1244,0,2186,7523,5412,0,35,209,655,38,6,1,4375,683,6,532,61,833,150,286,588,16435,691,0,8,1994,1331,300,5.390684042
MA,2022,6836,30192,85,1317,0,2216,7668,4432,0,61,347,686,9,6,1,5128,757,4,528,47,961,226,306,463,17017,683,0,3,2070,1440,279,3.399283388
MI,2014,9039,85259,219,3920,456,7098,28972,34408,437,948,544,4120,72,0,0,24244,12778,10,1319,290,4684,395,671,1723,26741,1508,0,169,2406,3722,627,5.784615385
MI,2015,8787,89590,223,3176,405,6755,28044,36112,450,890,532,3882,71,0,0,21559,11311,10,1173,252,4252,618,674,1538,26359,1516,28,221,2510,3395,567,4.868047337
MI,2016,9878,92207,246,3352,336,6718,28276,39344,455,1028,662,3994,55,0,0,22024,11148,4,1445,171,3016,532,781,1481,28144,1681,0,242,2882,4205,717,3.871597633
MI,2017,9533,88320,239,3225,351,6124,27002,33420,356,1175,659,3972,56,1,0,20148,8983,11,1289,259,2812,236,848,1314,28280,1806,0,140,2866,4634,576,3.815787262
MI,2018,10375,85739,205,3045,252,5820,26348,30521,350,1160,705,3778,44,3,3,18975,4793,14,1221,285,2700,220,988,1206,29467,1992,0,105,2900,4798,685,3.501214405
MI,2019,10200,78053,220,2606,187,5401,24730,14031,331,1162,704,3757,76,40,0,18279,3978,28,1288,349,2005,450,924,1290,29262,2214,0,76,3054,5423,644,3.05393957
MI,2020,11051,49438,201,2489,126,3859,21188,11808,194,692,519,2253,23,19,0,11662,2985,44,1292,362,923,235,812,1083,27324,2164,0,56,2759,9520,524,8.934918428
MI,2021,10636,45406,199,2155,112,3357,21628,12807,0,641,300,1674,44,12,0,9917,2821,55,1307,388,784,108,879,898,26323,2167,0,34,2835,10144,584,5.787301418
MI,2022,10381,51761,187,2168,104,3067,21142,11501,0,686,423,2004,27,13,4,11117,2706,42,1628,375,1111,104,821,917,27160,2166,0,50,2837,7881,567,3.922100109
MN,2014,3783,27784,83,2411,1197,10149,20586,19154,1,64,878,2286,28,0,0,24079,11833,13,1086,87,634,617,543,1151,14770,1723,0,184,3094,1797,1159,7.307692308
MN,2015,3980,30021,120,2318,1405,10660,21446,17879,102,40,1006,2782,29,0,0,24719,10132,10,1190,122,827,568,705,1241,14876,1738,6,445,3380,1931,1124,5.569822485
MN,2016,3733,30049,93,2211,956,9515,20255,11128,6,29,1025,2260,12,0,0,22769,8457,11,1324,105,605,374,589,1198,14501,1774,43,201,3231,1852,1105,6.013199818
MN,2017,3949,31034,97,2306,891,9614,21208,20598,12,23,1425,2644,13,148,2,22665,7817,6,1544,108,679,354,601,1157,14884,2021,41,213,3122,2221,893,4.611655754
MN,2018,3836,33813,101,2044,466,9280,20367,20856,31,16,1089,3464,30,101,0,20193,7073,13,1620,103,665,155,596,1013,14938,1989,7,430,2694,1879,883,4.193204289
MN,2019,3936,33371,108,2080,662,9174,20600,19649,28,26,1116,4618,37,121,0,22379,6778,27,1636,101,652,163,686,1166,15592,2017,4,367,2717,2263,829,4.07640033
MN,2020,4024,26713,139,2045,454,5756,18044,15138,19,53,956,3119,18,14,1,16284,4433,36,1291,142,358,31,525,1113,13590,2445,0,265,2576,2501,555,9.544338487
MN,2021,3930,32547,135,1844,261,4689,19410,14283,0,71,703,2494,14,50,0,12836,3713,49,952,138,382,72,552,830,12900,2079,0,253,2314,2519,470,6.134179884
MN,2022,3942,30831,109,1624,250,4347,20452,12624,0,136,668,2460,8,58,0,14523,3192,46,951,176,160,88,498,857,12869,2180,0,59,2013,2647,437,4.356475376
MS,2014,1214,29197,80,1663,129,5345,10054,10396,4616,529,544,1267,101,0,0,9559,1233,13,337,135,3365,124,110,446,8176,682,130,112,816,948,208,4.3
MS,2015,1077,30266,57,1634,107,4885,9603,10894,4722,475,426,1175,100,0,0,8752,1351,15,370,151,2915,45,112,400,7780,786,136,110,762,1090,215,3.830769231
MS,2016,1088,31797,70,1562,91,4487,8909,12146,4057,478,444,1157,67,0,0,7660,1088,16,379,133,2617,48,99,504,7908,804,75,49,892,1217,230,4.599317251
MS,2017,1044,30473,49,1443,92,4512,8556,11859,4191,433,404,952,75,0,0,7629,1055,16,386,133,2419,28,72,454,7122,871,44,110,746,1248,214,3.513199818
MS,2018,978,27767,43,1298,90,3778,7014,10099,3455,338,374,850,80,1,1,6936,863,12,384,91,2295,19,95,363,5966,814,8,77,628,1127,160,3.062553832
MS,2019,1010,27192,41,1223,72,3936,6663,10406,2884,338,360,815,40,2,0,6604,787,19,422,144,2368,75,77,350,5978,725,22,240,659,1113,173,3.235581064
MS,2020,1090,21031,60,1062,77,3827,6905,10351,1689,229,188,530,29,0,0,5248,487,25,431,213,1845,27,95,304,5202,713,55,21,603,1250,150,6.033506236
MS,2021,842,18320,25,649,26,3686,7200,8816,0,223,128,492,9,1,0,3671,289,11,312,85,578,17,89,147,4681,585,0,18,681,949,56,3.956423557
MS,2022,851,16965,28,682,37,3713,7125,8069,0,247,136,510,2,3,0,4075,335,5,268,76,548,3,84,145,4478,469,0,3,431,882,64,2.765878735
MO,2014,7050,93600,212,4648,1033,9494,23066,34541,453,333,1480,2300,116,0,0,32029,7266,54,1849,255,2987,377,503,1770,25978,2699,0,549,4303,2815,1472,7.630769231
MO,2015,7746,76204,194,4656,929,8466,20752,37733,358,330,1395,2520,76,0,0,30582,6330,52,2084,275,2786,415,597,2010,25005,3044,0,971,4457,3268,1415,6.571597633
MO,2016,7645,77221,235,4317,833,8293,20110,42613,354,371,1402,2507,75,0,0,28038,5599,56,2405,342,2726,416,544,1943,24195,3237,0,1227,4154,3768,1360,4.324806554
MO,2017,7282,79647,185,4093,655,7252,19630,43038,323,304,1303,2039,96,15,1,26060,4431,47,2621,355,2667,372,610,1608,22143,2994,1,1097,4032,3702,1330,5.293323063
MO,2018,7137,75654,226,3645,545,6606,15835,39492,272,251,1497,2293,64,4,4,22695,3511,31,2594,388,2386,274,550,1457,21105,3050,0,774,3712,3893,1220,4.984101774
MO,2019,7227,76458,180,3597,474,8126,18710,39541,322,271,1180,2125,36,8,2,20947,3430,39,2674,341,2023,163,540,1326,20705,3711,0,1018,3566,3924,1000,5.483392444
MO,2020,7360,45326,143,3028,519,5670,16161,29816,146,224,846,1709,14,7,0,15686,2092,45,2213,413,1148,43,456,1158,17532,3283,0,413,3766,3305,490,7.85256865
MO,2021,7170,42010,151,2437,312,4783,16217,26516,0,186,793,1339,15,4,0,11714,2241,28,2125,286,869,83,409,904,16085,2205,0,138,3518,2593,245,5.680966819
MO,2022,7082,41955,139,2691,238,4521,17540,23086,0,274,951,1529,19,1,1,12187,2040,42,2010,329,813,66,420,802,15851,2423,0,129,3108,2599,192,4.044689755
MT,2014,843,6150,37,280,413,3143,4496,2190,0,40,62,271,0,0,0,4382,2190,3,227,13,269,8,52,50,3810,36,0,8,859,100,89,6.184615385
MT,2015,956,6122,26,243,369,2837,4221,2400,29,56,96,250,2,0,0,4354,1851,5,275,10,255,6,60,55,3890,46,11,8,909,101,86,5.19112426
MT,2016,1120,7246,43,370,335,3795,5052,2829,927,32,115,260,0,0,0,4301,2231,1,380,19,897,3,54,77,4311,65,1,52,978,126,131,3.061948111
MT,2017,1266,7299,41,313,320,3573,4991,3415,267,38,112,267,0,0,0,4501,2422,1,320,21,629,9,58,107,4662,207,117,33,1037,112,113,3.807639789
MT,2018,1258,7246,30,334,307,2711,4196,3103,308,43,116,208,0,0,0,3870,1659,3,371,14,640,13,81,120,4372,172,46,24,998,88,96,3.285203061
MT,2019,1681,7072,20,345,285,2431,3861,2839,309,36,179,189,1,0,0,4056,1023,2,292,23,679,5,65,89,4304,247,1,22,907,81,115,3.214246389
MT,2020,1995,6662,35,308,185,2349,3943,2398,447,32,120,127,1,0,0,3404,1342,2,321,28,868,4,64,113,4448,191,0,3,1033,72,120,5.962634338
MT,2021,1643,5703,55,320,197,2229,4212,1759,0,29,92,151,0,0,0,3136,1060,3,329,23,459,3,73,102,5015,237,0,29,882,54,126,4.227894949
MT,2022,1531,5818,50,340,194,2231,3871,1486,0,21,89,140,0,0,0,3647,952,4,300,18,414,2,73,127,4771,245,0,6,823,51,189,2.625222688
NE,2014,1729,15556,56,762,161,3208,8621,12149,1,94,335,1440,6,0,0,9761,7201,5,368,45,1253,130,149,295,7189,711,0,62,2401,1030,473,4.692307692
NE,2015,908,10096,51,431,130,1883,5967,9253,28,28,184,868,2,0,0,5352,4502,1,253,10,901,49,114,127,5170,302,2,14,1337,673,278,4.322485207
NE,2016,1479,14737,58,602,144,2808,7497,12383,31,100,282,1408,2,0,0,9131,5217,0,424,40,1289,131,267,303,8479,663,0,16,2249,1135,464,5.896631771
NE,2017,1234,12846,37,553,169,2292,5032,10176,178,51,271,1072,1,0,0,6647,3413,0,357,28,1139,75,205,273,6853,543,0,15,1914,814,326,4.109600504
NE,2018,1599,15930,72,517,131,2608,6779,13716,139,67,316,1382,0,0,0,7722,4123,0,472,42,1427,133,236,332,8941,836,0,25,2254,1108,434,3.777661577
NE,2019,1705,14457,63,526,106,2545,6418,12294,226,70,289,1252,3,1,0,7478,3241,1,479,34,1401,112,273,367,8914,735,5,12,2264,1143,412,3.521358583
NE,2020,1666,11407,77,462,113,2397,5389,8912,331,37,235,890,2,2,0,5844,2457,3,426,57,1251,36,248,316,7903,610,10,11,2082,1073,325,5.663181429
NE,2021,1466,10508,51,257,95,1577,5114,7930,0,22,143,431,2,1,0,2414,2098,7,221,22,655,31,125,91,4515,241,0,620,1393,527,134,3.558706264
NE,2022,1417,10419,63,242,54,1612,4864,7352,0,14,149,478,0,2,0,3031,2135,4,247,30,679,6,124,66,4574,313,0,752,1366,566,107,2.704515866
NV,2014,5610,44121,65,2738,733,1595,8095,12548,212,344,626,1514,50,0,0,9990,4929,0,854,124,949,3827,279,1809,14395,1243,2,1795,1502,1493,1002,3.269230769
NV,2015,5886,42421,60,2688,604,1336,7675,11670,234,338,620,1640,35,0,0,8956,3714,5,810,131,971,3308,341,1996,14005,1525,112,1758,1494,1470,798,3.005325444
NV,2016,6029,49925,53,2524,472,1311,10692,13817,242,331,607,1637,33,0,0,6999,3400,6,900,166,988,2892,257,1905,14037,1584,118,1521,1486,1897,716,2.9282203
NV,2017,5574,52762,60,3168,445,1564,10543,9245,256,237,539,1632,23,42,0,6606,3507,7,882,159,930,2600,359,1556,16153,1795,187,1712,1601,2024,750,2.981688316
NV,2018,6069,60461,79,3157,371,2299,11130,11318,393,289,444,1827,23,25,7,6574,3751,10,760,193,1048,2859,411,1420,17932,1863,35,3194,1645,2256,913,2.92936064
NV,2019,6045,65766,85,3294,361,2964,11771,12902,307,370,522,2121,39,23,13,6696,3463,5,705,128,1078,3170,433,1307,19407,1900,90,3402,1887,2439,1196,3.109950818
NV,2020,4199,40888,104,2171,249,2056,10367,10311,237,246,422,1420,26,24,1,5297,1954,6,593,152,743,2103,367,1196,19678,1863,90,577,2046,2702,762,4.216150063
NV,2021,4180,35351,142,1804,313,2014,11211,8863,0,168,272,993,45,37,0,4803,1295,3,711,163,642,1988,321,1173,20599,1884,0,332,2153,3016,352,2.80893462
NV,2022,4448,36657,161,2210,256,2058,11373,7884,0,209,212,1008,55,45,0,5149,1380,5,837,161,545,2280,287,1296,19892,2100,0,469,2168,2887,434,2.377610355
NH,2014,616,13388,35,430,21,1068,4628,6335,3393,109,235,914,23,0,0,4616,3475,0,85,0,164,64,55,216,5391,732,0,58,1179,115,147,8.230769231
NH,2015,585,12600,20,411,14,993,4939,7619,3409,137,273,876,6,0,0,4203,3277,3,107,10,135,60,57,189,5193,585,0,56,1034,149,130,6.956213018
NH,2016,629,13027,31,347,13,956,4903,8371,3690,129,237,847,7,0,0,3500,2949,2,113,6,164,91,61,180,5153,555,0,65,1182,170,130,5.006463359
NH,2017,699,14640,30,378,11,1007,4888,7966,4246,136,327,875,12,0,0,3310,2526,3,166,10,207,79,70,172,5458,536,0,82,1275,142,105,5.053587059
NH,2018,660,14730,23,326,30,890,5102,6645,3858,104,247,786,4,0,0,3205,2090,1,166,11,189,25,80,154,5764,568,0,98,1279,146,140,4.434891312
NH,2019,511,15496,15,249,10,952,5349,5907,4028,83,244,751,2,0,0,3067,1838,1,152,15,150,49,94,139,5584,480,0,97,1188,127,137,4.133453178
NH,2020,491,13455,22,244,14,820,4089,4596,1770,64,166,465,1,0,0,2347,1440,7,148,3,141,23,73,108,5030,375,0,118,1033,131,103,12.96411178
NH,2021,398,18152,19,210,3,859,4065,4256,0,48,143,384,1,0,0,2153,1634,12,144,5,211,5,73,87,4527,375,0,103,1084,222,121,7.404931676
NH,2022,361,18126,17,153,7,771,3567,3314,0,52,112,306,3,0,0,1862,1046,3,112,10,303,2,71,112,4343,276,0,92,948,234,100,5.515763975
NJ,2014,6623,118242,217,5167,1813,15282,23918,54908,0,331,1176,4985,253,0,0,25046,4180,25,553,261,10152,965,326,3346,22158,2801,0,350,3884,3907,1173,4.369230769
NJ,2015,6583,112400,171,4540,1416,12868,23595,52597,0,292,1044,3690,351,0,0,23426,3770,11,662,209,9809,806,399,3131,22306,2438,0,674,4009,3806,1021,3.466863905
NJ,2016,6515,110807,186,4423,1406,12995,23568,62990,0,323,1053,3945,421,0,0,22112,3294,16,512,201,8902,866,398,3053,22845,2750,0,274,3940,4143,1006,6.738507055
NJ,2017,6001,107648,139,4105,612,12036,22001,64835,0,273,1044,3570,162,0,0,20864,3010,31,509,151,8988,924,348,2680,20866,2645,0,307,3416,4040,1030,2.817555408
NJ,2018,6321,103335,147,3379,367,10841,20859,57552,24,253,941,3831,161,0,0,18350,1698,21,598,165,8514,798,339,2234,20013,2486,2,204,3021,3546,1079,2.639811954
NJ,2019,6709,92054,121,3310,402,11321,21386,55954,66,212,950,3890,169,5,19,18210,1827,21,649,187,7379,770,357,2068,20588,2488,210,169,3073,3800,1029,2.572293227
NJ,2020,6671,47703,159,2783,217,7642,14403,37845,69,107,580,1939,65,23,6,12600,927,13,589,164,2659,300,328,1781,18879,2454,56,143,2833,3642,778,6.39786871
NJ,2021,4059,25005,81,1205,57,3566,9913,9272,9,70,286,620,8,0,20,6533,173,10,417,176,1195,181,211,888,11615,1316,7,83,1572,2448,532,3.630605285
NJ,2022,5928,37961,130,2030,90,4902,12810,10278,14,137,614,936,12,0,18,13347,244,29,621,163,1023,299,233,1255,17467,1930,38,225,2160,3790,583,2.586969637
NM,2014,3797,43921,55,1573,0,2661,8562,6611,80,199,231,648,6,0,0,10143,3054,8,374,114,1420,162,145,267,9267,817,19,63,1097,571,140,6.792307692
NM,2015,3926,41972,337,1253,5,2873,9844,8569,2782,209,301,613,1,0,0,10130,2933,9,466,92,1693,62,134,402,9852,1195,46,104,1374,661,139,5.784023669
NM,2016,4030,40584,650,1114,10,2267,8274,8340,1959,267,322,746,1,0,0,9393,2406,12,552,79,1444,47,136,408,9617,1662,58,255,1395,688,108,4.909194356
NM,2017,4218,41874,474,1292,1,2104,8114,7727,1770,164,272,605,1,0,0,7045,1814,13,420,61,1610,37,127,474,9219,1537,13,103,1177,555,131,4.569727951
NM,2018,4454,42346,52,1112,1,1924,7876,6804,1999,146,218,477,3,0,0,6381,1638,7,454,85,1579,91,114,471,9419,1253,12,61,1183,657,77,4.051517535
NM,2019,4049,37067,46,976,14,1984,7538,5434,2136,156,173,459,3,0,1,5808,1616,3,415,84,2032,48,99,339,8929,974,15,92,1436,662,85,3.49627058
NM,2020,3480,23209,44,865,2,1456,5520,3929,1458,103,69,187,5,2,0,4273,1029,8,397,52,2699,35,77,284,7667,873,10,89,1605,673,52,8.992020814
NM,2021,2955,14961,32,747,0,1331,4601,2716,0,98,41,156,1,0,0,2922,889,6,323,59,872,12,66,235,8936,753,0,66,1549,565,44,6.791693909
NM,2022,2613,14123,39,803,2,1411,5218,2787,0,90,58,177,0,0,0,3907,797,5,345,44,953,16,26,203,9163,1066,0,121,1563,600,43,3.907053378
NY,2014,8531,47476,298,7198,0,8731,30546,64385,0,52,2713,5378,82,0,0,47495,2467,15,1778,216,551,923,469,3614,32185,4227,0,797,15000,3437,2159,6.607692308
NY,2015,8698,47286,282,6427,0,7287,30361,25013,0,74,2795,5045,78,0,0,45308,1873,11,1811,268,604,869,1164,3646,31396,3756,0,731,14915,3535,2007,6.600591716
NY,2016,8765,44971,242,5950,0,6498,29984,25817,0,64,2852,4481,74,0,0,42550,1609,18,1856,263,611,632,1122,3337,30120,3527,0,566,15042,3677,2011,5.145744197
NY,2017,8594,44355,298,5480,0,5588,28533,76716,0,48,2730,4417,102,0,0,39002,1498,13,1812,274,576,688,1015,3236,29039,3368,0,629,14351,3583,1787,6.095269773
NY,2018,8146,42343,282,4696,0,5271,27000,76108,0,37,2207,4142,45,0,0,36890,1106,11,1901,263,536,599,994,2798,28321,3006,0,593,13410,3354,1894,5.015020752
NY,2019,7622,36877,226,4060,0,3983,26268,57667,0,26,1814,3625,33,0,0,34087,734,21,1795,200,538,502,1019,2287,25270,2334,0,757,12390,2896,1634,4.962693904
NY,2020,7187,25643,227,4558,0,1925,18284,35288,0,22,1408,1603,37,0,0,26119,259,8,1916,278,324,178,756,1911,20200,2467,0,146,11073,2832,1194,7.6971303
NY,2021,2528,12251,114,1317,0,701,4256,4160,0,16,257,321,7,1,0,7789,171,5,760,94,41,14,205,621,7830,560,0,16,4358,1152,278,7.107471562
NY,2022,7478,32255,258,4512,0,2035,21583,15490,0,49,1733,1395,27,0,0,28151,419,24,2190,274,633,136,784,1906,22162,2508,0,71,11463,4102,1343,4.262113197
NC,2014,12995,122487,286,13152,10,9432,41407,36919,0,1301,1937,13246,155,0,0,47989,5844,46,1169,518,6904,512,422,3485,49982,4041,0,311,6967,6647,1319,6.353846154
NC,2015,11548,104782,258,11392,20,8229,40058,25140,0,1347,1773,11550,128,0,0,43260,3752,53,1132,543,6297,486,392,3443,46765,3960,0,135,6150,6044,1202,5.319526627
NC,2016,11639,102548,266,11392,15,7021,36836,26219,0,1392,1759,10566,106,0,0,40639,3437,66,1211,702,5864,370,383,3614,45845,4117,0,15,5735,6294,1146,3.074738279
NC,2017,11426,106175,241,10770,22,6816,34532,34041,0,1483,1805,9523,72,0,0,36282,2882,54,1509,605,5900,461,329,3230,41668,4443,0,14,5535,6774,1156,4.654553412
NC,2018,10729,107030,226,9414,5,5829,33628,38768,0,1247,1452,7674,70,0,0,32597,2329,64,1724,656,5981,348,340,3282,37522,4359,0,42,4929,6278,1019,4.142657955
NC,2019,7217,101912,221,6061,21,3549,14829,37950,1591,757,855,3512,29,1,0,23843,1679,19,1158,424,3741,252,243,2185,24057,3665,0,33,2950,3239,344,3.87251215
NC,2020,8131,88501,261,6579,33,2799,13478,37918,855,684,719,2969,21,0,2,22072,1391,39,1436,535,3131,182,241,2320,24370,3799,0,93,3048,3696,412,9.390193242
NC,2021,8222,107641,240,5458,30,3197,14360,37363,0,634,562,2503,25,1,4,17021,1528,40,1378,614,2992,98,257,1789,23680,3613,0,216,3017,4375,447,7.199245634
NC,2022,7351,102688,210,5273,7,3029,13661,33156,0,720,520,2463,31,0,0,16440,1377,46,1323,509,3254,97,240,1542,23368,3460,0,145,2707,5146,406,4.476865049
ND,2014,497,6671,15,236,87,1668,6739,3938,374,62,104,431,0,0,0,2730,3556,6,200,19,108,47,56,56,2373,156,0,2,443,359,70,6.130769231
